firstNames,familyName,program,id,idString,password,username,isTeacher,isAdmin,isStudent
Tiia-Johanna Harley,Piippola,KAU,1267,utu:1267,tp1234,tijoha,0,0,1
Katiina Seline Chantal,Multamäki,KAU3,1276,utu:1276,km1234,kasech,0,0,1
Yücel Olli-Jaakko,Vanharanta,SOS4,1286,utu:1286,yv1234,ycolja,0,0,1
Viacheslav Jung Salamo,Hukkanen,SOS,1289,utu:1289,vh1234,vijusa,0,0,1
Sienna Miiru Loren,Nahkala,KAS3,1295,utu:1295,sn1234,similo,0,0,1
Lieselotte Nataliya Viola,Ruoholahti,KAU3,1305,utu:1305,lr1234,linavi,0,0,1
Marja-Sinikka Ingelill,Käsmä,YRI,1311,utu:1311,mk1234,masiin,0,0,1
Marley,Kuja-Aro,SUO2,1321,utu:1321,mk1234,makuja,0,0,1
Dijar,Schauman,MON,1324,utu:1324,ds1234,discha,0,0,1
Ella-Ilona Zhi,af Björksten,OIK,1326,utu:1326,ea1234,elilzh,0,0,1
Kirsti Brita-Liisa,Postinen,FOL,1333,utu:1333,kp1234,kibrli,0,0,1
Paulintytär Lyudmila,Paltamaa,TEO,1336,utu:1336,pp1234,palypa,0,0,1
Traian Htet Qays,Sweins,KOU,1337,utu:1337,ts1234,trhtqa,0,0,1
Myrtti Minnantytär Una,Kaunissaari,TAL4,1346,utu:1346,mk1234,mymiun,0,0,1
Özgür Pekko Samae,Tergujeff,KAS2,1348,utu:1348,öt1234,zgpesa,0,0,1
Lindis Jefimia Elektra,Kurru,KIE2,1356,utu:1356,lk1234,lijeel,0,0,1
Georgi,Ruonaniemi,TIE,1357,utu:1357,gr1234,geruon,0,0,1
Rosario Derin Vennu,Kovala,MUS,1364,utu:1364,rk1234,rodeve,0,0,1
Conny Sakkeus Romeo,Keltikangas,TOI,1370,utu:1370,ck1234,cosaro,0,0,1
Diyar Abdi Cristian,Kiviranta,LOG,1380,utu:1380,dk1234,diabcr,0,0,1
Brita-Lisa,Rantasila,EKO,1387,utu:1387,br1234,brlira,0,0,1
Phyllis,Hirvonsalo,MAR,1389,utu:1389,ph1234,phhirv,0,0,1
Kirsimarja,Väntti,TEO,1391,utu:1391,kv1234,kivntt,0,0,1
Anna-Linnea Oluwakemi,Näppilä,POH,1393,utu:1393,an1234,anliol,0,0,1
Nooke Ari-Mikael,Kotamies,FIL,1398,utu:1398,nk1234,noarmi,0,0,1
Alpin Lauri-Jaakko,Metsäkoivu,OHJ,1405,utu:1405,am1234,allaja,0,0,1
Veksi Raune Hanad,Esselström,TIE2,1408,utu:1408,ve1234,veraha,0,0,1
Tupu,Kaariste,MUS,1409,utu:1409,tk1234,tukaar,0,0,1
Hoque,Landin,KAU2,1415,utu:1415,hl1234,holand,0,0,1
Cea Emely,Nyroos,KAS5,1422,utu:1422,cn1234,ceemny,0,0,1
Kallentytär,Savikkomaa,VAL,1431,utu:1431,ks1234,kasavi,0,0,1
Tshwarelo Daren Kael,Varjamo,OIK,1433,utu:1433,tv1234,tsdaka,0,0,1
Hristov,Muurainen,KAU,1441,utu:1441,hm1234,hrmuur,0,0,1
Thorborg Tarja-Leena,Ahlgrén,MUS,1448,utu:1448,ta1234,thtale,0,0,1
Sirwan,Känä,TAL,1456,utu:1456,sk1234,sirwkn,0,0,1
Olliver Cevdet Ruu,Pyökkilehto,ARK2,1462,utu:1462,op1234,olceru,0,0,1
Leon Olari Aleks,Auruksenaho,YRI,1472,utu:1472,la1234,leolal,0,0,1
Jope Hanno Ninos,Hurttia,LUO2,1475,utu:1475,jh1234,johani,0,0,1
Clinton,Pehrman,BIO5,1483,utu:1483,cp1234,clpehr,0,0,1
Francine Remi Fuad,Soppela,MAT2,1492,utu:1492,fs1234,frrefu,0,0,1
Arkan Artti Miikanpoika,Liekkinen,KAN,1495,utu:1495,al1234,ararmi,0,0,1
Ivanka Lan,Höyhtyä,KLA,1502,utu:1502,ih1234,ivlahy,0,0,1
Tida Maarianna,Henttonen,ELI,1512,utu:1512,th1234,timahe,0,0,1
Jeanne,Semenov,ASI,1513,utu:1513,js1234,jeseme,0,0,1
John-Olof Aato,Sannholm,MAA,1515,utu:1515,js1234,joolaa,0,0,1
Thomasson Mehran Huuko,Kortepuro,TER2,1523,utu:1523,tk1234,thmehu,0,0,1
Santo Karl-Eric,Rouvali,FYS3,1526,utu:1526,sr1234,sakaer,0,0,1
Lauri-Matti Allanti,Borgenström,TIE4,1536,utu:1536,lb1234,lamaal,0,0,1
Giacomo Bo-Anders,Hahn,MAA2,1544,utu:1544,gh1234,giboan,0,0,1
Mary-Annie Nera,Elwan,ITA,1554,utu:1554,me1234,maanne,0,0,1
Vili,Haverila,INT,1562,utu:1562,vh1234,vihave,0,0,1
R Zaynab Henny,Eno,BIO4,1570,utu:1570,re1234,rzahee,0,0,1
Niillas Mursal Sirwan,Eckert,MON,1576,utu:1576,ne1234,nimusi,0,0,1
Anssi-Petteri Bright,Kuja-Aro,TIE4,1586,utu:1586,ak1234,anpebr,0,0,1
Katjaana Jannah Sufia,Ruoskanen,KAS3,1588,utu:1588,kr1234,kajasu,0,0,1
Mehran Allari Mahmoud,Takila,RAN,1590,utu:1590,mt1234,mealma,0,0,1
Kain Mikel Elton,Railio,LAT,1591,utu:1591,kr1234,kamiel,0,0,1
Lemmitty Jasmir Ryszard,Daavittila,YLE2,1594,utu:1594,ld1234,lejary,0,0,1
Elsikki Tamanna,Pätynen,BIO5,1604,utu:1604,ep1234,eltapt,0,0,1
Käpy Iina-Maija,Ala-Prinkkilä,SOS2,1609,utu:1609,ka1234,kpiima,0,0,1
Ruben Caspian,Skaag,FYS2,1619,utu:1619,rs1234,rucask,0,0,1
Heng Otso Tshwarelo,Joutsela,BIO2,1622,utu:1622,hj1234,heotts,0,0,1
Arnulf Ul Tuomaanpoika,Hujakka,KUL,1626,utu:1626,ah1234,arultu,0,0,1
Trong Mousa Phat,Ala-Ilkka,MAA2,1636,utu:1636,ta1234,trmoph,0,0,1
Jonette Mariitta,Ranni,MAT,1640,utu:1640,jr1234,jomara,0,0,1
Melik Erkka-Ville,Kangaspunta,BIO4,1649,utu:1649,mk1234,meervi,0,0,1
Sen Jenna-Lotta,Harjunpää,SOS2,1659,utu:1659,sh1234,sejelo,0,0,1
Janitta,Hirvisuo,KAU,1668,utu:1668,jh1234,jahirv,0,0,1
Basita Sasu-Matti,Vaskuri,KAS3,1674,utu:1674,bv1234,basama,0,0,1
Aref Hardy,Oivukka,ELI,1682,utu:1682,ao1234,arhaoi,0,0,1
Rabbe,Tuloisela,OIK,1688,utu:1688,rt1234,ratulo,0,0,1
Hamze Zoltán Shaker,Varpunen,SUO4,1694,utu:1694,hv1234,hazosh,0,0,1
Kimo Dan-Henrik,Korkonen,SAK,1704,utu:1704,kk1234,kidahe,0,0,1
Joni-Matti Abdiqadir,Hahtola,KIE2,1713,utu:1713,jh1234,jomaab,0,0,1
Aveliina Almi Sävy,Alapelto,HAM,1715,utu:1715,aa1234,avalsv,0,0,1
Eija-Leena,Yli-Kankahila,KLA,1720,utu:1720,ey1234,eileyl,0,0,1
Silkka Viktorina Kelli,Ainiala,ITA,1721,utu:1721,sa1234,sivike,0,0,1
Lorelei Erja-Riitta,Tontti,BIO6,1725,utu:1725,lt1234,loerri,0,0,1
Aishwarya Annlis Pirgitta,Rostén,MAR2,1726,utu:1726,ar1234,aianpi,0,0,1
Emélie Karlsdotter Fia,Kaihlaniemi,LAS,1728,utu:1728,ek1234,emkafi,0,0,1
Oscar,Hamarus,SAK,1736,utu:1736,oh1234,oshama,0,0,1
Viljari Abdelaziz Kerem,Kyttä,TAI,1744,utu:1744,vk1234,viabke,0,0,1
Anja-Liisa Linnéa,Heikkala,TEK,1752,utu:1752,ah1234,anlili,0,0,1
Silas Cheng,Masti,TUR,1758,utu:1758,sm1234,sichma,0,0,1
Carla Ninamaria,Ndiaye,TIE2,1761,utu:1761,cn1234,canind,0,0,1
Jared,Rinkinen,POL3,1768,utu:1768,jr1234,jarink,0,0,1
Jolina Tuovi Deana,Hardén,FIL,1778,utu:1778,jh1234,jotude,0,0,1
Mahir Orvo,Pousi,LAS,1788,utu:1788,mp1234,maorpo,0,0,1
Aino-Maaria Rosalinda,Askola,PSY,1792,utu:1792,aa1234,aimaro,0,0,1
João Jan-Cristian,Nyykooli,KLA,1794,utu:1794,jn1234,jojacr,0,0,1
Annsofi Liana Gitte,Valle,ESP,1801,utu:1801,av1234,anligi,0,0,1
Yasir Fozi Ralf,Hulkkonen,SOS4,1811,utu:1811,yh1234,yafora,0,0,1
Ihana Ismahaan Delara,Rynö,LAS3,1821,utu:1821,ir1234,ihisde,0,0,1
Minna-Riitta Ennimaria,Pikkanen,LAT,1829,utu:1829,mp1234,mirien,0,0,1
Rohan Huvi,Rosenblad,USK,1835,utu:1835,rr1234,rohuro,0,0,1
René Nina-Kaarina,Kallioniemi,YRI2,1838,utu:1838,rk1234,renika,0,0,1
Zhi Jan-Juhani,Rinta-Säntti,MUS,1848,utu:1848,zr1234,zhjaju,0,0,1
Paaso Jussi-Pekka,Paloranta,LAT,1850,utu:1850,pp1234,pajupe,0,0,1
Supattra Raune Linneá,Mattus,LAS3,1855,utu:1855,sm1234,surali,0,0,1
Raafael Athos,Glan,BIO4,1857,utu:1857,rg1234,raatgl,0,0,1
Alexinpoika Jani-Tapio,Isohookana,SUO4,1865,utu:1865,ai1234,aljata,0,0,1
Zelal Max Marjanna,Kupi,LUO,1870,utu:1870,zk1234,zemama,0,0,1
Laureline Hendrika,Nygård,HAM,1875,utu:1875,ln1234,laheny,0,0,1
Nils-Gustaf Nantte,Tuppuri,KAS,1880,utu:1880,nt1234,niguna,0,0,1
Riti,Huuhtanen,SOS,1883,utu:1883,rh1234,rihuuh,0,0,1
Safira Amber Meia,Hyttilä,FYS,1891,utu:1891,sh1234,saamme,0,0,1
Sunita Yanna,Nuopponen,KLA,1897,utu:1897,sn1234,suyanu,0,0,1
Kirsi-Hannele,Ali-Rantala,BIO4,1901,utu:1901,ka1234,kihaal,0,0,1
Momo,Muurikka,YLE,1905,utu:1905,mm1234,momuur,0,0,1
Antonella Aïcha,Kaarre,TER2,1915,utu:1915,ak1234,anacka,0,0,1
Sai Ingeborg Sami,Harjapää,TAI,1922,utu:1922,sh1234,sainsa,0,0,1
Aino-Orvokki Jael,Lehtokannas,MAA,1929,utu:1929,al1234,aiorja,0,0,1
Ehab,Koski-Tuuri,KAS3,1936,utu:1936,ek1234,ehkosk,0,0,1
Anatolevna Merliina Smilla,Luiro,VEN,1940,utu:1940,al1234,anmesm,0,0,1
Reiska Olliver,Laapas,KOU,1945,utu:1945,rl1234,reolla,0,0,1
Dante Eilon,Tiikkaja,YLE,1952,utu:1952,dt1234,daeiti,0,0,1
Bao Erko Wolfgang,Reijula,LUO,1962,utu:1962,br1234,baerwo,0,0,1
Lenna Alonzo Phillip,Pannimaa,SUO,1963,utu:1963,lp1234,lealph,0,0,1
Ahlaam Kerensa Razzak,Purontaka,TIL,1971,utu:1971,ap1234,ahkera,0,0,1
Catariina Anni-Riina,Könönen,MAR2,1978,utu:1978,ck1234,caanri,0,0,1
Paulinpoika Eemel Melker,Böstman,TIE3,1984,utu:1984,pb1234,paeeme,0,0,1
Taria Soja,Stenros,TAL5,1986,utu:1986,ts1234,tasost,0,0,1
Mariaana,Kettunen,MOL,1995,utu:1995,mk1234,makett,0,0,1
Matvej,Teini,MAT,2005,utu:2005,mt1234,matein,0,0,1
Esa-Veikko,Liipo,VEN,2012,utu:2012,el1234,esveli,0,0,1
Mateen Natnael,Tarma,MAR,2020,utu:2020,mt1234,manata,0,0,1
Jedidja Saamuel Tahvana,Tuomi-Nikula,KAU3,2022,utu:2022,jt1234,jesata,0,0,1
Carl Eelis,Hykkyrä,TAL4,2023,utu:2023,ch1234,caeehy,0,0,1
Marja-Johanna Csilla,Ahmavuo,ENG,2033,utu:2033,ma1234,majocs,0,0,1
Ilija Dillon Irenius,Lopez,TEK,2043,utu:2043,il1234,ildiir,0,0,1
Mirka-Leena Asikainen,Tenovuo,FOL,2050,utu:2050,mt1234,mileas,0,0,1
Rami-Matti R,Hormio,YRI,2057,utu:2057,rh1234,ramarh,0,0,1
Najat Wellamo Salaado,Ruuhijoki,TAL,2063,utu:2063,nr1234,nawesa,0,0,1
Kumar Li Neeri,Otranen,KAS,2067,utu:2067,ko1234,kuline,0,0,1
Loi Lal,Salin,KLA,2076,utu:2076,ls1234,lolasa,0,0,1
Merli Clarisse,Lehikoinen,OHJ,2080,utu:2080,ml1234,meclle,0,0,1
Papu Abdirisaaq Serge,Katara,KAU5,2087,utu:2087,pk1234,paabse,0,0,1
Heidar Henk,Sihvo,TAI,2091,utu:2091,hs1234,hehesi,0,0,1
Blanka Hanna-Riika,Pentinniemi,LAT,2099,utu:2099,bp1234,blhari,0,0,1
Salla-Riikka Orvokki,Helmi,SUO3,2100,utu:2100,sh1234,sarior,0,0,1
Dren Miki Edgar,Moradi,SUO2,2110,utu:2110,dm1234,drmied,0,0,1
Niitty Herdis,Syrjäpalo,JOH,2118,utu:2118,ns1234,nihesy,0,0,1
Hentriikka Rosalyn Firdaus,Lundenius,LAS,2128,utu:2128,hl1234,herofi,0,0,1
Ivanna Maarita Ellevi,Forsberg,BIO5,2131,utu:2131,if1234,ivmael,0,0,1
Dordi Kirre Valvikki,Paulaharju,JOH2,2140,utu:2140,dp1234,dokiva,0,0,1
Vitalis,Sarkima,FYS4,2144,utu:2144,vs1234,visark,0,0,1
Fong Shahla,Joki-Tokola,VEN,2152,utu:2152,fj1234,foshjo,0,0,1
Soilikki,Ania,TIE3,2153,utu:2153,sa1234,soania,0,0,1
Eeli Henni-Sofia,Heinolainen,FOL2,2154,utu:2154,eh1234,eeheso,0,0,1
Millariina Natasha Yvonne,Söder,LAS3,2157,utu:2157,ms1234,minayv,0,0,1
Mohammad Kareem Ijaz,Kankaanmäki,JOH2,2163,utu:2163,mk1234,mokaij,0,0,1
Renee Naimo Helmiida,Söderberg,MED2,2165,utu:2165,rs1234,renahe,0,0,1
Besian Balasim Akam,Somervuo,MAR2,2172,utu:2172,bs1234,bebaak,0,0,1
Fredrikki Subhi Nevzat,Saarialho,PSY,2179,utu:2179,fs1234,frsune,0,0,1
Cuong Larsson Oguzhan,Palolahti,BIO4,2189,utu:2189,cp1234,culaog,0,0,1
Ester Milli Haagar,Unhola,KAU3,2199,utu:2199,eu1234,esmiha,0,0,1
Mst. Franseska,Mukari,KAN,2208,utu:2208,mm1234,msfrmu,0,0,1
Aamir Emil Jonne,Laitamaa,FOL2,2212,utu:2212,al1234,aaemjo,0,0,1
Maksimus,Kallunki,TAL,2221,utu:2221,mk1234,makall,0,0,1
Mouhamed Raza Sargon,Köhler,MAA,2228,utu:2228,mk1234,morasa,0,0,1
Luay Valteri,Jokioja,SUO2,2234,utu:2234,lj1234,luvajo,0,0,1
Ru Sami-Veikko,Anonen,YRI,2238,utu:2238,ra1234,rusave,0,0,1
Jewel Terttu-Kaarina,Thomé,ARK,2248,utu:2248,jt1234,jeteka,0,0,1
Consuelo Hilmaliina,Aarne,LAT,2254,utu:2254,ca1234,cohiaa,0,0,1
Adamiina Tiisa,Teimonen,TEK,2258,utu:2258,at1234,adtite,0,0,1
Maria Bianka Walma,Lampén,KLA,2262,utu:2262,ml1234,mabiwa,0,0,1
Altin,Palmulaakso,KAU,2268,utu:2268,ap1234,alpalm,0,0,1
Lyylikki Ann-Len,Paulsen,MOL2,2276,utu:2276,lp1234,lyanle,0,0,1
Dagmar,Liuttu,MED2,2277,utu:2277,dl1234,daliut,0,0,1
Tytti-Liisa Eulalia,Rautoja,MED,2282,utu:2282,tr1234,tylieu,0,0,1
Rejan Raymond Maxime,Kannela,KUL2,2290,utu:2290,rk1234,rerama,0,0,1
Jeremi Jokke Muhammet,Ropponen,MON,2296,utu:2296,jr1234,jejomu,0,0,1
Gretchen Rachel Janna,Punnonen,KIR,2306,utu:2306,gp1234,grraja,0,0,1
Josefiina Lottamari,Selin,KEM,2311,utu:2311,js1234,jolose,0,0,1
Karli Tari Thim,Pelkkala,POH,2318,utu:2318,kp1234,katath,0,0,1
Bijan Ari-Ville,Lytsy,ITA,2321,utu:2321,bl1234,biarvi,0,0,1
Faris Rana Vilho,Jakunaho,TIE2,2324,utu:2324,fj1234,faravi,0,0,1
Darius Magan Jérémie,Jordan,KAU5,2331,utu:2331,dj1234,damajr,0,0,1
Lahoucine Sattar Naava,Ojutkangas,VAL,2339,utu:2339,lo1234,lasana,0,0,1
Tarja-Sisko Fenja,Raki,GEO2,2345,utu:2345,tr1234,tasife,0,0,1
Jan-Martin Soini,Lerkkanen,SOS,2349,utu:2349,jl1234,jamaso,0,0,1
Andreevich,Turma,KEM2,2352,utu:2352,at1234,anturm,0,0,1
Abdelmalek Evind,Paasovaara,SUO4,2354,utu:2354,ap1234,abevpa,0,0,1
Fjodor Samsa Sami,Vallinheimo,TUR,2359,utu:2359,fv1234,fjsasa,0,0,1
Ida-Riikka Agnia,Niittyranta,KLA,2367,utu:2367,in1234,idriag,0,0,1
Ligia,Hramoff,BIO,2372,utu:2372,lh1234,lihram,0,0,1
Nafisa Samara,Willfors,MAT2,2377,utu:2377,nw1234,nasawi,0,0,1
Edson Immanuel Émil,Wenman,KLA,2384,utu:2384,ew1234,edimmi,0,0,1
Kenth Ales Hilari,Rantee,FYS3,2389,utu:2389,kr1234,kealhi,0,0,1
Sviatlana Anseliina Iira,Tikka,SUO2,2390,utu:2390,st1234,svanii,0,0,1
Liisa-Marjaana,Ahtinen,TAL4,2392,utu:2392,la1234,limaah,0,0,1
Ciara Elfriede,Pintamo-Kenttälä,POL2,2393,utu:2393,cp1234,cielpi,0,0,1
Dani Nuno,Hallström,OHJ,2401,utu:2401,dh1234,danuha,0,0,1
Arn Adjei,Tyrkkö,KAU4,2406,utu:2406,at1234,aradty,0,0,1
Jorge Jari-Antero,Knutar,KLA,2408,utu:2408,jk1234,jojaan,0,0,1
Chol,Salin,MON,2412,utu:2412,cs1234,chsali,0,0,1
Sharifa Lonny,Haidari,FYS,2417,utu:2417,sh1234,shloha,0,0,1
Chimezie Lulzim Hawal,Syvävirta,LAS2,2421,utu:2421,cs1234,chluha,0,0,1
Sai,Novitsky,JOH,2422,utu:2422,sn1234,sanovi,0,0,1
Mikko-Juhani Juska,Jytilä,KAN,2432,utu:2432,mj1234,mijuju,0,0,1
Sipri Daris Rakesh,Luntinen,ESP,2436,utu:2436,sl1234,sidara,0,0,1
Klas Sultan Raouf,Brokvist,MAT2,2445,utu:2445,kb1234,klsura,0,0,1
Tiina-Maija Athena,Kronberg,TIE7,2450,utu:2450,tk1234,timaat,0,0,1
Jarkko-Pekka,Vesimäki,TOI,2459,utu:2459,jv1234,japeve,0,0,1
Fria Blenda Heine,Sarén,OIK,2463,utu:2463,fs1234,frblhe,0,0,1
Elinda Juhantytär Anabella,Ritoranta,FOL2,2471,utu:2471,er1234,eljuan,0,0,1
Kuunsäde Elizabet Michele,Lumento,EKO,2473,utu:2473,kl1234,kuelmi,0,0,1
Saru Marike Saralotta,Tamio,MUS,2480,utu:2480,st1234,samasa,0,0,1
Kalle-Jaakko Kusai,Kortteenperä,BIO3,2490,utu:2490,kk1234,kajaku,0,0,1
Singa Mirka-Maria,Säisä,MAT,2497,utu:2497,ss1234,simima,0,0,1
Tiina-Liisa Ervi,Osmala,OIK,2505,utu:2505,to1234,tilier,0,0,1
Mårtensdotter Titania,Haahkola,RAN,2506,utu:2506,mh1234,mrtiha,0,0,1
Edoardo Armen Rakesh,Raaska,KUL3,2509,utu:2509,er1234,edarra,0,0,1
Marili,Kuoppa,MUS,2516,utu:2516,mk1234,makuop,0,0,1
Sheida Ora Sadette,Kraus,TAL3,2522,utu:2522,sk1234,shorsa,0,0,1
Jasi,Verronen,KAU4,2524,utu:2524,jv1234,javerr,0,0,1
Eden Aiden,Hirvirinne,PSY,2531,utu:2531,eh1234,edaihi,0,0,1
Carl-Oskar,Välipakka,SUO4,2533,utu:2533,cv1234,caosvl,0,0,1
Qasem Yuk Nadir,Kangasmuukko,OHJ,2542,utu:2542,qk1234,qayuna,0,0,1
Benny Kari-Olavi,Rinta-Kokko,TER2,2552,utu:2552,br1234,bekaol,0,0,1
Duraan Eino-Olli,Rätte,MAA2,2555,utu:2555,dr1234,dueiol,0,0,1
Selmi Usko Valery,Saajanaho,SOS,2560,utu:2560,ss1234,seusva,0,0,1
Leijonamieli Vin,Kaisto,BIO5,2567,utu:2567,lk1234,levika,0,0,1
Mikkal Paul-Henrik,Tiiliharju,SOS4,2573,utu:2573,mt1234,mipahe,0,0,1
János Sindri Isa,Hallikainen,BIO4,2582,utu:2582,jh1234,jnsiis,0,0,1
Lianna,Paatsola,BIO,2588,utu:2588,lp1234,lipaat,0,0,1
Kianna Aino-Liisa,Pekkonen,POH,2596,utu:2596,kp1234,kiaili,0,0,1
Lei Edgard,Reittu,YMP,2601,utu:2601,lr1234,leedre,0,0,1
Joeli Firas Taddeus,Sikala,YRI,2602,utu:2602,js1234,jofita,0,0,1
Sabiina Anttuuna Nermin,Kajavalta,MAR,2604,utu:2604,sk1234,saanne,0,0,1
Veronika Muntaha Ligia,Ristiluoma,POH,2612,utu:2612,vr1234,vemuli,0,0,1
Serhat Peter Jeremias,Päivähonka,TAI,2618,utu:2618,sp1234,sepeje,0,0,1
Jari-Jussi Weikko,Laanti,KAS3,2624,utu:2624,jl1234,jajuwe,0,0,1
Veli-Johannes Vesseli,Kaisko,TIE2,2632,utu:2632,vk1234,vejove,0,0,1
Hamit Kari Tahlil,Tunturila,KEM2,2634,utu:2634,ht1234,hakata,0,0,1
Saara-Mari Purity,Perilä,BIO6,2636,utu:2636,sp1234,samapu,0,0,1
Aino-Elina Mohamoud,Niemi-Korpi,KOU,2645,utu:2645,an1234,aielmo,0,0,1
Hodan Kobra Israa,Heusala,INT,2653,utu:2653,hh1234,hokois,0,0,1
Ewen Aleksi Nikita,Mahlio,TAL3,2662,utu:2662,em1234,ewalni,0,0,1
Vendla Afiifa Valfrida,Gaye,KAU2,2672,utu:2672,vg1234,veafva,0,0,1
Idiris Kaius Leewi,Mäki-Jaakkola,LAS3,2681,utu:2681,im1234,idkale,0,0,1
Jan-Ole Klemet,Reinhardt,BIO3,2690,utu:2690,jr1234,jaolkl,0,0,1
Paulina Elizabeth,Iikkanen,TIE4,2699,utu:2699,pi1234,paelii,0,0,1
Merri Weli Manolis,Paajala,TAL3,2708,utu:2708,mp1234,mewema,0,0,1
Jerkko,Tammilehto,TIE5,2712,utu:2712,jt1234,jetamm,0,0,1
Eemil,Alalahti,MAR,2722,utu:2722,ea1234,eealal,0,0,1
Irma-Leena Elliida,Frid,MAS,2729,utu:2729,if1234,irleel,0,0,1
Tamir Jilo Bruce,Pääjoki,POL3,2739,utu:2739,tp1234,tajibr,0,0,1
Sulamit Yuk Matroona,Mutku,SUO,2748,utu:2748,sm1234,suyuma,0,0,1
Aki-Markus,Mettovaara,MAS,2755,utu:2755,am1234,akmame,0,0,1
